,name,id,artist,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,Sexo Virtual,0giiXonRhODYy4J1iy4Lb3,Rauw Alejandro,puerto rican pop,0.328,0.704,0.739,1.93e-05,0.0856,-3.286,0.112,179.879,0.425
1,Tell The Vision (feat. Kanye West & Pusha T),2UwALqx6yOsXTFt7zRxnts,Pop Smoke,brooklyn drill,0.251,0.662,0.686,5.59e-06,0.349,-8.302,0.332,143.971,0.678
2,La Venganza,0Pe4DpJDmZtOybHgrZ1hyM,J Balvin,latin,0.324,0.784,0.702,1.84e-06,0.117,-3.884,0.05,92.0,0.538
3,Me Vs Me,1lUTmmPMAsxZBR2iK9CKDF,Moneybagg Yo,hip hop,0.205,0.853,0.821,0.0,0.209,-4.537,0.209,130.999,0.625
4,Heat Above,0zlaa4AmbFE7MVDijsyD9Q,Greta Van Fleet,modern blues rock,0.00881,0.338,0.847,0.00105,0.147,-3.692,0.0458,139.061,0.232
5,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,Harry Styles,pop,0.000564,0.566,0.846,0.000795,0.121,-6.904,0.035,160.02,0.86
6,Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,Kendrick Lamar,conscious hip hop,0.123,0.716,0.485,2.69e-05,0.604,-7.745,0.404,74.132,0.26
7,California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,The Mamas & The Papas,brill building pop,0.352,0.552,0.608,0.0,0.0533,-9.786,0.0345,112.367,0.637
8,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,melodic rap,0.0948,0.729,0.603,0.0,0.113,-6.736,0.0666,134.972,0.207
9,SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake,dance pop,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,0.964
10,Una Vez,5J7teKIJGtqVypgYI6sqXj,Bad Bunny,latin,0.132,0.55,0.598,2.58e-06,0.0955,-5.402,0.0831,83.836,0.543
11,moment,5K9tfeoiztw94dyWzF39jq,Vierre Cloud,weirdcore,0.0426,0.544,0.855,0.157,0.167,-7.461,0.093,171.349,0.517
12,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,Idina Menzel,hollywood,0.558,0.543,0.485,0.0,0.12,-6.85,0.0305,136.961,0.371
13,Donde No Se Vea,21nlmbw0nUPr1yjThh02Li,Jhay Cortez,latin,0.111,0.735,0.712,0.0,0.145,-4.536,0.144,177.989,0.845
14,Come and Get Your Love - Single Version,7GVUmCP00eSsqc4tzj1sDD,Redbone,native american,0.172,0.731,0.804,0.00028,0.0685,-7.621,0.0473,107.383,0.957
15,sex money feelings die - slowed version,0dkvbYmXYEPK7gGMdytmfI,Lykke Li,art pop,0.471,0.797,0.44,1.57e-06,0.0849,-6.587,0.0594,111.014,0.436
16,PTSD,1C8ux1YWLMHCenYJFiIV4Z,G Herbo,chicago drill,0.0313,0.883,0.808,0.0,0.207,-3.158,0.182,119.01,0.806
17,Should've Been A Cowboy,18BajNiyvH6GpYshB0unrm,Toby Keith,contemporary country,0.351,0.585,0.793,0.0,0.3,-3.713,0.0322,133.839,0.732
18,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,J. Cole,conscious hip hop,0.352,0.657,0.421,0.000218,0.187,-11.378,0.412,174.063,0.181
19,"Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,Kendrick Lamar,conscious hip hop,0.0152,0.587,0.698,0.0,0.442,-8.948,0.0943,133.954,0.0985
20,The Business,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,big room,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,120.031,0.235
21,Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,big room,0.198,0.77,0.787,0.0,0.262,-3.748,0.0583,119.986,0.513
22,ULTRA VIOLET,2CxjDTsUBmVlcMjjy2UETJ,Thouxanbanfauni,atl hip hop,0.118,0.632,0.714,0.926,0.12,-8.924,0.063,159.938,0.313
23,Bebé Que Bien Te Ves,6Se3CKRvYOyuzHGdHAooem,J Balvin,latin,0.0481,0.747,0.665,0.0,0.151,-6.538,0.0755,166.006,0.634
24,Don't Stop Me Now - Remastered 2011,7hQJA50XrCWABAu5v6QZ4i,Queen,classic rock,0.0472,0.563,0.865,0.000191,0.77,-5.277,0.16,156.271,0.601
25,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,Queen,classic rock,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,109.975,0.756
26,Ganas De Verte,15IszJQQHRq8xwYt5MDPo4,J Balvin,latin,0.341,0.689,0.662,0.0,0.127,-6.248,0.0699,167.928,0.331
27,Black Sheep - Brie Larson Vocal Version,60TThBDrPpek5k520l0W0L,Metric,alternative dance,0.000278,0.462,0.599,0.000441,0.0909,-5.735,0.0375,123.938,0.173
28,Cúrame,3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,puerto rican pop,0.584,0.765,0.625,0.00111,0.112,-3.599,0.0548,102.101,0.262
29,Hell Of A View,1kBx9VGumfuvlfqdlAGorE,Eric Church,contemporary country,0.119,0.689,0.582,0.00464,0.101,-6.778,0.0236,99.021,0.883
30,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,album rock,0.171,0.572,0.835,0.000377,0.0702,-6.219,0.0317,129.981,0.795
31,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,adult standards,0.157,0.659,0.678,6.69e-06,0.0784,-8.18,0.0313,106.186,0.647
32,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,Queen,classic rock,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,143.883,0.228
33,bad vibes forever,03eJ2DclFWXYU8GWgANdmZ,XXXTENTACION,emo rap,0.334,0.8,0.526,0.00174,0.0571,-5.153,0.0716,129.874,0.746
34,Rät,25z6kpmIwkCUqk2IORrJ5v,Penelope Scott,alt z,0.322,0.608,0.45,0.000122,0.147,-13.291,0.248,143.846,0.303
35,You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,Taylor Swift,pop,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474
36,Rosyln,4k7x3QKrc3h3U0Viqk0uop,Bon Iver,eau claire indie,0.971,0.329,0.277,0.024,0.0971,-13.111,0.0302,159.719,0.121
37,Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,Coolio,g funk,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,79.974,0.387
38,Hit 'Em Up - Single Version,0Z2J91b2iTGLVTZC4fKgxf,2Pac,g funk,0.0394,0.916,0.844,0.0,0.0778,-3.967,0.236,95.19,0.586
39,Moves Like Jagger - Studio Recording From The Voice Performance,7LcfRTgAVTs5pQGEQgUEzN,Maroon 5,pop,0.0111,0.722,0.758,0.0,0.308,-4.477,0.0471,128.047,0.62
40,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,british invasion,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931
41,Cada Vez Te Extraño Más,70w1mwTod6NgCNV6e7ZlIQ,Grupo Firme,corrido,0.655,0.358,0.465,0.0,0.155,-7.384,0.0433,87.706,0.535
42,Rock with You - Single Version,7oOOI85fVQvVnK5ynNMdW7,Michael Jackson,pop,0.179,0.808,0.535,9.91e-05,0.158,-12.521,0.0353,114.031,0.848
43,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,Kendrick Lamar,conscious hip hop,0.0152,0.587,0.698,0.0,0.442,-8.948,0.0943,133.954,0.0985
44,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,colombian pop,0.284,0.778,0.824,0.0,0.405,-5.892,0.0707,100.024,0.758
45,Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,Limp Bizkit,alternative metal,0.00591,0.603,0.933,0.0,0.206,-3.358,0.171,96.306,0.709
46,Demons,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,modern rock,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,89.938,0.428
47,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy,J. Cole,conscious hip hop,0.324,0.667,0.608,0.000198,0.426,-7.054,0.216,99.992,0.475
48,Love Story (Taylor’s Version),6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,pop,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415
49,Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,Passenger,folk-pop,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.897,0.243
50,Chevrolet Cuatro por Cuatro,5K8fmjSkNpJzCyaCmY5DMS,Los Dos Grandes De La Sierra,corrido,0.0171,0.726,0.678,0.0467,0.0979,-11.326,0.0663,111.976,0.595
51,Anti-Romantic,0v1cUEN3oF5URBDpc0wVtF,TOMORROW X TOGETHER,k-pop,0.0509,0.641,0.489,0.0,0.071,-8.668,0.11,142.977,0.206
52,Real Baby Pluto,1rP5gAqMlm8d6UnfseuzSm,Future,atl hip hop,0.0165,0.898,0.567,0.0,0.109,-6.446,0.302,141.973,0.602
53,schizophrenia,5b6zjsBrZCqe6RFycLz2tc,XXXTENTACION,emo rap,0.0762,0.606,0.349,0.0711,0.1,-10.032,0.198,180.055,0.239
54,Sending My Love - Spotify Singles,1KFHD2MK0wQADYddeed7Qf,Chloe x Halle,alternative r&b,0.0339,0.578,0.599,0.0,0.286,-8.692,0.0402,95.005,0.475
55,Bop,0RfAd5SHYb8XZCduRdhweW,Masked Wolf,australian hip hop,0.0421,0.712,0.761,1.27e-05,0.279,-6.263,0.0339,95.01,0.412
56,Two 10s,4skFh25hBwTL8dPXZl1Gpq,Quinn XCII,electropop,0.6,0.741,0.498,3.5e-06,0.119,-6.189,0.303,71.502,0.552
57,Better,32T61xmNSIXhGkEszzs0t8,SG Lewis,alternative r&b,0.05,0.699,0.583,0.00029,0.091,-9.731,0.0357,109.001,0.484
58,love yourself (interlude),1Znlc3UZAbSodFaMBjdpsX,XXXTENTACION,emo rap,0.674,0.746,0.338,0.000375,0.529,-13.472,0.109,120.053,0.469
59,eyes blue x heather - Slowed,3D2HQSwjfHQU6NqwjFJJX7,Lofi Cloud,slowed and reverb,0.95,0.777,0.456,0.491,0.186,-15.598,0.271,129.587,0.643
60,Make Eem Run!,44nlOJLjLqwNgYcT277V25,Bass Santana,dark trap,0.747,0.936,0.514,0.0,0.11,-8.908,0.271,129.997,0.812
61,GAMBLER,1Zsy7gMUcHDhxC0bbyZmC2,Monsta X,k-pop,0.00458,0.752,0.861,5.84e-06,0.158,-2.72,0.152,97.968,0.595
62,RISK!,6DA0ACV1BJQAxJkXcUlqz5,k.xxiv,aesthetic rap,0.368,0.411,0.914,0.0,0.773,-5.896,0.137,83.082,0.566
63,Monster - Robin Schulz Remix,4tknhO5RmXIxnpoipMKBmG,LUM!X,edm,0.133,0.475,0.815,0.0,0.11,-6.068,0.124,126.164,0.48
64,One Minute (feat. Kanye West & Travis Barker),0T6RSXxFhW8dRTWHI604ld,XXXTENTACION,emo rap,0.00671,0.568,0.636,0.0,0.105,-4.265,0.204,113.497,0.879
65,Sempe,7AbLGIOzFkx6jHq5en5xiH,L.A.X,afro dancehall,0.517,0.699,0.703,0.0216,0.112,-7.651,0.273,195.864,0.478
66,Slingshot,5J3LR9JWrZIUTG7UGZkIKg,Lil Xan,emo rap,0.0562,0.928,0.778,6.27e-06,0.129,-6.962,0.252,122.998,0.668
67,Loud Places,7lPgKA5mLFNmGPMdb07OlM,Jamie xx,electronica,0.00462,0.646,0.63,0.27,0.122,-10.748,0.0435,109.018,0.164
